,mean,std
home_R/G,4.491251541307028,0.48023755134245755
home_PA,36.936266002953225,5.05856499722257
home_AB,33.129469790382245,4.556590898020049
home_R,4.361335647196724,0.7449910390333971
home_H,8.327236607754486,1.2406326401846384
home_2B,1.6777602715744928,0.2907472756653171
home_3B,0.16338235070253151,0.0653077292841142
home_HR,1.1421922333348555,0.2991909862527082
home_RBI,4.160988567688115,0.7209934990706159
home_SB,0.49009757805483245,0.1834167836860964
home_CS,0.17112694280799498,0.06085882558232734
home_BB,3.041177634683595,0.5476084514591292
home_SO,8.01010792954895,1.2904090088275446
home_BA,0.2510172626387176,0.010897014307510347
home_OBP,0.3183581997533909,0.01215849692464293
home_SLG,0.4150450061652281,0.027678551801480312
home_OPS,0.7333612823674476,0.03764741363715908
home_OPS+,96.58446362515413,8.732643082283998
away_R/G,4.492250308261406,0.5104823996038178
away_PA,36.93254022621059,5.053058393252375
away_AB,33.1229658552922,4.543401771889916
away_R,4.36384360110213,0.7683966272418518
away_H,8.349907141008662,1.2565579520928312
away_2B,1.6744987897885555,0.2921736826769657
away_3B,0.16280007915848435,0.06043371386193991
away_HR,1.130866480948684,0.3040028763476824
away_RBI,4.16464584189615,0.7406832872589535
away_SB,0.49220593384177436,0.17600827170244945
away_CS,0.18421473261177324,0.06233713871961158
away_BB,3.03785145605943,0.5426034481329992
away_SO,8.002020824770517,1.2741467366847765
away_BA,0.25166707768187424,0.011615637047845233
away_OBP,0.3189913686806412,0.012338828417351852
away_SLG,0.41444882860665844,0.02962882923371862
away_OPS,0.7334593094944514,0.03994288654233862
away_OPS+,96.13255240443897,8.983791739799369
Number_of_Games,0.0721331689272503,0.34106233429729255
home_SO/BB,2.987441430332922,1.3734760006827569
home_ERA+,104.56411837237978,33.291645209732124
home_WAR,1.4936498150431565,1.9587517889446795
home_FIP,4.367416769420469,1.0219137724567324
home_WHIP,1.3339932182490752,0.23100768836187108
away_SO/BB,2.865012330456227,1.3182247305815167
away_ERA+,103.28113440197288,38.105294253713105
away_WAR,1.472503082614057,1.9814926603854413
away_FIP,4.420431565967941,1.116300595298894
away_WHIP,1.347186806411837,0.26450297038673043
